alignment,candidate_type,model_type,ablation,num_seeds,base_top1_pct_mean,base_top1_pct_std,base_top5_pct_mean,base_top5_pct_std,base_top10_pct_mean,base_top10_pct_std,base_top20_pct_mean,base_top20_pct_std,base_mrr_raw_mean,base_mrr_raw_std,rerank_top1_pct_mean,rerank_top1_pct_std,rerank_top5_pct_mean,rerank_top5_pct_std,rerank_top10_pct_mean,rerank_top10_pct_std,rerank_top20_pct_mean,rerank_top20_pct_std,rerank_mrr_raw_mean,rerank_mrr_raw_std
align42_ablations,formula,relative,antisymmetric_pair,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,70.88173333333333,0.3762538681971697,80.59923333333333,0.37290310180170816,84.6814,0.26080613489717036,86.84973333333333,0.08849318241159837,0.7538333333333334,0.002650157228040113
align42_ablations,formula,relative,directed_pair,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,70.05773333333333,1.2891706533013174,79.94796666666666,1.068152874514378,84.31876666666666,0.562109529658887,86.75096666666667,0.26267465300887344,0.7470666666666667,0.010597326706926256
align42_ablations,formula,relative,no_lambda_pair,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,70.91023333333334,0.3641495068420906,80.66756666666666,0.37478150078856703,84.6909,0.24961087716683802,86.8554,0.08451100520050443,0.7540666666666667,0.0027006172134039145
align42_ablations,formula,relative,no_lambda_spec,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,70.58936666666666,0.7868880881887425,80.22326666666666,0.26099950830093693,84.558,0.1811394214410572,86.92373333333333,0.10586653547431306,0.7515333333333334,0.0056438757368791545
align42_ablations,formula,relative,no_spectrum_conditioning,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,71.00516666666667,0.40408673986327787,80.40556666666667,0.35571668970309983,84.65673333333334,0.14768311796997088,86.882,0.14274182988878403,0.7545666666666667,0.0032807519463277472
align42_ablations,mass,relative,antisymmetric_pair,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,57.87576666666667,0.5856131516055069,73.55126666666666,0.5825556997689901,78.7214,0.29096563370955153,82.14666666666668,0.12915666197813266,0.6477666666666666,0.0051626866390798035
align42_ablations,mass,relative,directed_pair,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,57.9745,0.49411068598037733,73.1488,0.7148670435822299,78.2961,0.5205687370559255,82.01373333333333,0.2744161863544708,0.6470666666666667,0.004737439533475121
align42_ablations,mass,relative,no_lambda_pair,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,58.01436666666667,0.3751045365405934,73.6595,0.5156195496681617,78.7708,0.2591970100136241,82.16566666666667,0.14329383564317316,0.6488,0.00367151195013718
align42_ablations,mass,relative,no_lambda_spec,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,58.44156666666667,0.5355357348798826,73.60636666666667,0.9172545466408555,78.37966666666667,0.7723952118788224,81.9701,0.28490403647544515,0.6516333333333334,0.0064259888992538265
align42_ablations,mass,relative,no_spectrum_conditioning,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,58.41876666666667,0.8110140709835636,73.8171,0.6450362082860124,78.66826666666667,0.4588002433884919,82.00423333333333,0.2901204117833355,0.6521666666666667,0.006885734044626854
