candidate_type,ablation,component,num_paired_seeds,full_top1_pct_mean,full_top1_pct_std,ablation_top1_pct_mean,ablation_top1_pct_std,delta_top1_pct_mean,delta_top1_pct_std,delta_top1_pct_positive,delta_top1_pct_zero,delta_top1_pct_negative,full_top5_pct_mean,full_top5_pct_std,ablation_top5_pct_mean,ablation_top5_pct_std,delta_top5_pct_mean,delta_top5_pct_std,delta_top5_pct_positive,delta_top5_pct_zero,delta_top5_pct_negative,full_top10_pct_mean,full_top10_pct_std,ablation_top10_pct_mean,ablation_top10_pct_std,delta_top10_pct_mean,delta_top10_pct_std,delta_top10_pct_positive,delta_top10_pct_zero,delta_top10_pct_negative,full_top20_pct_mean,full_top20_pct_std,ablation_top20_pct_mean,ablation_top20_pct_std,delta_top20_pct_mean,delta_top20_pct_std,delta_top20_pct_positive,delta_top20_pct_zero,delta_top20_pct_negative,full_mrr_raw_mean,full_mrr_raw_std,ablation_mrr_raw_mean,ablation_mrr_raw_std,delta_mrr_raw_mean,delta_mrr_raw_std,delta_mrr_raw_positive,delta_mrr_raw_zero,delta_mrr_raw_negative
mass,no_residual,residual base-score shortcut,3,68.58243333333333,0.20348548678795983,68.16093333333333,0.06090462489280845,0.4214999999999994,0.1881864235273084,3,0,0,77.35816666666666,0.36103454590015865,77.3145,0.1937412449634838,0.04366666666666674,0.500293687081237,1,0,2,79.99353333333333,0.34047527565644337,80.08086666666667,0.24810832983464004,-0.08733333333333822,0.57693623853363,1,0,2,82.20360000000001,0.06679790415873713,82.31186666666666,0.16609925747376048,-0.10826666666666067,0.15505496874765012,1,0,2,0.7259666666666666,0.002498666310921358,0.7232666666666666,0.0006350852961085825,0.0027000000000000357,0.0030049958402633453,2,0,1
mass,no_base_score,joint base-score feature and residual pathway,3,68.58243333333333,0.20348548678795983,68.066,0.2005729044512232,0.5164333333333341,0.3982460838895121,3,0,0,77.35816666666666,0.36103454590015865,77.22333333333333,0.2927143545050899,0.13483333333333292,0.3069585042531565,2,0,1,79.99353333333333,0.34047527565644337,80.25556666666667,0.1572264714777114,-0.2620333333333349,0.22767855264239265,0,0,3,82.20360000000001,0.06679790415873713,82.44283333333333,0.09905353771235784,-0.23923333333332644,0.08954754789123588,0,0,3,0.7259666666666666,0.002498666310921358,0.7228,0.0018083141320025342,0.003166666666666688,0.0034019602192461983,2,0,1
mass,no_rank_embedding,rank embedding,3,68.58243333333333,0.20348548678795983,70.12036666666667,0.3019097602485458,-1.5379333333333325,0.4845513010335778,0,0,3,77.35816666666666,0.36103454590015865,77.95436666666667,0.307188042302,-0.5962000000000008,0.6678349571563358,1,0,2,79.99353333333333,0.34047527565644337,80.791,0.10690420945875598,-0.7974666666666698,0.44477122583788714,0,0,3,82.20360000000001,0.06679790415873713,82.64223333333334,0.15549975348319425,-0.4386333333333283,0.1833537927977862,0,0,3,0.7259666666666666,0.002498666310921358,0.7374666666666666,0.0028183919765237563,-0.011499999999999955,0.005311308689955831,0,0,3
mass,no_interaction_features,product and absolute-difference features,3,68.58243333333333,0.20348548678795983,68.0983,0.8463807712844147,0.4841333333333324,0.6521975033173104,3,0,0,77.35816666666666,0.36103454590015865,77.2898,0.35465030664021724,0.0683666666666672,0.46197593371660806,2,0,1,79.99353333333333,0.34047527565644337,79.99923333333334,0.022990940244657143,-0.005699999999999743,0.31760499051494356,1,0,2,82.20360000000001,0.06679790415873713,82.32130000000001,0.018322936445887752,-0.11769999999999925,0.07738856504677717,0,0,3,0.7259666666666666,0.002498666310921358,0.7228666666666667,0.006646302230062504,0.0031000000000000285,0.005146843692983109,2,0,1
mass,listwise_only,pairwise loss term,3,68.58243333333333,0.20348548678795983,68.9071,0.7552542618218075,-0.32466666666666316,0.9008147663828232,1,0,2,77.35816666666666,0.36103454590015865,77.57273333333333,0.04774540117469773,-0.21456666666666516,0.33918906723734016,1,0,2,79.99353333333333,0.34047527565644337,80.1682,0.12272607709855388,-0.17466666666666697,0.4617930958051792,1,0,2,82.20360000000001,0.06679790415873713,82.31373333333333,0.12260058455542582,-0.11013333333333246,0.1514577939009143,0,0,3,0.7259666666666666,0.002498666310921358,0.7286333333333334,0.004593836450433706,-0.002666666666666669,0.005493025881363897,1,0,2
formula,no_residual,residual base-score shortcut,3,74.5671,0.2819052500397937,75.0057,0.5433469977831853,-0.4385999999999986,0.2969572864908393,0,0,3,81.96816666666666,0.264534578710101,82.2302,0.22178793925730267,-0.2620333333333349,0.19964141186971282,0,0,3,84.37570000000001,0.08210950005937419,84.45736666666667,0.21390877339027742,-0.08166666666666345,0.16373980375380232,1,0,2,86.77186666666667,0.1392011973128557,86.90286666666667,0.20140194471090242,-0.13099999999999548,0.11115965994910061,0,0,3,0.7801666666666667,0.0025540817005987484,0.7837999999999999,0.004222558466143465,-0.003633333333333303,0.0017009801096230545,0,0,3
formula,no_base_score,joint base-score feature and residual pathway,3,74.5671,0.2819052500397937,74.39433333333334,0.5500502007392872,0.1727666666666702,0.7115372536510811,1,0,2,81.96816666666666,0.264534578710101,81.99856666666666,0.20774903930784686,-0.03039999999999547,0.38571166692232295,1,0,2,84.37570000000001,0.08210950005937419,84.4308,0.1343446686698087,-0.05510000000000067,0.2034663608560433,1,0,2,86.77186666666667,0.1392011973128557,86.93323333333333,0.16400183942058014,-0.161366666666666,0.20778696622582904,1,0,2,0.7801666666666667,0.0025540817005987484,0.7793333333333333,0.0037872593432894458,0.0008333333333333526,0.005501211987674455,1,0,2
formula,no_rank_embedding,rank embedding,3,74.5671,0.2819052500397937,76.6177,0.6917808973945451,-2.0505999999999935,0.44848314349594026,0,0,3,81.96816666666666,0.264534578710101,82.18653333333333,0.5190166888774687,-0.21836666666666815,0.47234549149254396,2,0,1,84.37570000000001,0.08210950005937419,84.57506666666667,0.3899430257529059,-0.1993666666666627,0.3756823436539597,1,0,2,86.77186666666667,0.1392011973128557,87.163,0.17102669382291955,-0.3911333333333336,0.047421970997979235,0,0,3,0.7801666666666667,0.0025540817005987484,0.7937666666666667,0.0057838856604651,-0.01360000000000002,0.003928103868280486,0,0,3
formula,no_interaction_features,product and absolute-difference features,3,74.5671,0.2819052500397937,75.75566666666667,0.5506231227739429,-1.188566666666664,0.8306136426361677,0,0,3,81.96816666666666,0.264534578710101,82.40106666666667,0.07521597791249791,-0.4329000000000036,0.3397056961547696,0,0,3,84.37570000000001,0.08210950005937419,84.50673333333333,0.09168622215651134,-0.13103333333332992,0.15607361510945206,1,0,2,86.77186666666667,0.1392011973128557,86.94839999999999,0.12534320883078967,-0.1765333333333293,0.2420956284886834,0,0,3,0.7801666666666667,0.0025540817005987484,0.789,0.0038314488121336016,-0.008833333333333323,0.006296295206971595,0,0,3
formula,listwise_only,pairwise loss term,3,74.5671,0.2819052500397937,74.23863333333333,0.24564212450907497,0.3284666666666709,0.3434002669383461,3,0,0,81.96816666666666,0.264534578710101,81.71753333333334,0.12408554844675947,0.25063333333333065,0.3714304286583528,2,0,1,84.37570000000001,0.08210950005937419,84.14976666666666,0.19148823288477573,0.22593333333333496,0.23164512369858994,2,0,1,86.77186666666667,0.1392011973128557,86.6731,0.2576486173065901,0.0987666666666674,0.3965039764407511,2,0,1,0.7801666666666667,0.0025540817005987484,0.7771,0.002463736998950992,0.003066666666666699,0.004101625693957631,2,0,1
