candidate_type,model_type,candidate_cutoff,total_queries,upper_bound_pct,base_top1_pct,base_top5_pct,base_top10_pct,base_top20_pct,base_mrr_raw,rerank_top1_pct,rerank_top5_pct,rerank_top10_pct,rerank_top20_pct,rerank_mrr_raw,log_path
formula,pointwise,5,17556,75.7861,63.1009,75.7861,75.7861,75.7861,0.6774,68.4438,75.7861,75.7861,75.7861,0.7123,analysis/mentor2026_experiments/cutoff_runs/formula_pointwise_k5/eval_rerank.log
formula,pointwise,10,17556,80.8669,63.1009,75.7861,80.8669,80.8669,0.6841,69.7767,78.1328,80.8669,80.8669,0.7332,analysis/mentor2026_experiments/cutoff_runs/formula_pointwise_k10/eval_rerank.log
formula,pointwise,20,17556,84.9339,63.1009,75.7861,80.8669,84.9339,0.687,70.6368,79.0784,82.9631,84.9339,0.7448,analysis/mentor2026_experiments/cutoff_runs/formula_pointwise_k20/eval_rerank.log
formula,pointwise,40,17556,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,70.7337,79.7334,84.2618,86.8421,0.7505,analysis/mentor2026_experiments/cutoff_runs/formula_pointwise_k40/eval_rerank.log
