alignment,candidate_type,model_type,ablation,num_seeds,base_top1_pct_mean,base_top1_pct_std,base_top5_pct_mean,base_top5_pct_std,base_top10_pct_mean,base_top10_pct_std,base_top20_pct_mean,base_top20_pct_std,base_mrr_raw_mean,base_mrr_raw_std,rerank_top1_pct_mean,rerank_top1_pct_std,rerank_top5_pct_mean,rerank_top5_pct_std,rerank_top10_pct_mean,rerank_top10_pct_std,rerank_top20_pct_mean,rerank_top20_pct_std,rerank_mrr_raw_mean,rerank_mrr_raw_std
align42,formula,pointwise,full,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,70.76403333333333,0.5872878113270645,80.07136666666666,0.35095074203274074,84.33016666666667,0.07830749219157428,86.86486666666667,0.07662991147935133,0.7516666666666666,0.00407717222267265
align42,formula,relative,full,3,63.1009,0.0,75.7861,0.0,80.8669,0.0,84.9339,0.0,0.6886,0.0,70.88173333333333,0.3762538681971697,80.59923333333333,0.37290310180170816,84.6814,0.26080613489717036,86.84973333333333,0.08849318241159837,0.7538333333333334,0.002650157228040113
align42,mass,pointwise,full,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,58.1207,0.5358740523667844,73.61016666666667,0.5430993494134732,78.6322,0.48115861210207866,82.2435,0.10208765841178226,0.6491,0.004689349635077333
align42,mass,relative,full,3,47.4596,0.0,63.5111,0.0,71.0242,0.0,77.7626,0.0,0.5503,0.0,57.87576666666667,0.5856131516055069,73.55126666666666,0.5825556997689901,78.7214,0.29096563370955153,82.14666666666668,0.12915666197813266,0.6477666666666666,0.0051626866390798035
align43,formula,pointwise,full,3,45.0786,0.0,58.9086,0.0,65.818,0.0,73.5076,0.0,0.5185,0.0,64.71673333333334,0.1432208900032901,72.04563333333333,0.14242335950725749,75.90566666666666,0.45742037922826373,78.598,0.3135764181184527,0.6836,0.0014730919862656535
align43,formula,relative,full,3,45.0786,0.0,58.9086,0.0,65.818,0.0,73.5076,0.0,0.5185,0.0,64.10153333333334,1.1244295324000222,71.96209999999999,0.5991859561104558,75.5677,0.5177553090022334,78.72710000000001,0.504865635590306,0.6795333333333333,0.008336266150581636
align43,mass,pointwise,full,3,35.9193,0.0,52.9278,0.0,61.5858,0.0,71.1722,0.0,0.4433,0.0,58.321933333333334,0.3212515265852169,70.5552,0.26463763904630067,74.67153333333333,0.2535055291967704,78.0265,0.5758659826730502,0.6398,0.0028053520278210776
align43,mass,relative,full,3,35.9193,0.0,52.9278,0.0,61.5858,0.0,71.1722,0.0,0.4433,0.0,57.609966666666665,1.4480334054618138,70.54379999999999,0.36941774456568605,74.5994,0.21883850209686395,78.26573333333333,0.1433408990251282,0.6349666666666667,0.010644403850537304
align44,formula,pointwise,full,3,28.7309,0.0,45.1697,0.0,53.7537,0.0,64.149,0.0,0.3687,0.0,54.26253333333333,0.5321776050655785,63.60026666666667,0.5712530816838853,68.24640000000001,0.5344926659927176,72.826,0.32540235094417996,0.5876666666666667,0.004301550108197466
align44,formula,relative,full,3,28.7309,0.0,45.1697,0.0,53.7537,0.0,64.149,0.0,0.3687,0.0,54.348,0.16825127042611104,64.56103333333334,1.0860689542258992,68.9736,0.8838127460044912,73.12033333333333,0.3256177104110464,0.5911333333333333,0.0036828431046317246
align44,mass,pointwise,full,3,23.9121,0.0,40.7439,0.0,49.9487,0.0,60.0535,0.0,0.3226,0.0,46.421,0.4398328773522969,59.071933333333334,0.46305695474027136,64.15093333333334,0.5017777429632919,69.15583333333333,0.5624425511404054,0.5237666666666666,0.004552288801617635
align44,mass,relative,full,3,23.9121,0.0,40.7439,0.0,49.9487,0.0,60.0535,0.0,0.3226,0.0,47.04943333333333,0.9372059823397053,59.3928,0.14809999999999945,64.49456666666667,0.4250595997425934,68.8141,0.35092205687303396,0.5284,0.006326926584053249
