alignment_seed,candidate_type,reranker_seed,pointwise_top1_pct,transformer_top1_pct,delta_top1_pct,pointwise_top5_pct,transformer_top5_pct,delta_top5_pct,pointwise_top10_pct,transformer_top10_pct,delta_top10_pct,pointwise_top20_pct,transformer_top20_pct,delta_top20_pct,pointwise_mrr_raw,transformer_mrr_raw,delta_mrr_raw
42,mass,42,67.6692,68.74,1.0707999999999913,77.3923,77.774,0.38169999999999504,80.2916,80.3714,0.07979999999999166,82.4447,82.177,-0.2676999999999907,0.7208,0.7287,0.007900000000000018
42,mass,43,68.0394,68.3527,0.31329999999999814,77.3297,77.1759,-0.15380000000000393,80.1435,79.7106,-0.4329000000000036,82.1542,82.1542,0.0,0.7225,0.7238,0.0012999999999999678
42,mass,44,66.6211,68.6546,2.0335000000000036,76.3386,77.1246,0.7860000000000014,79.8815,79.8986,0.017099999999999227,82.1884,82.2796,0.09120000000000061,0.7104,0.7254,0.015000000000000013
42,formula,42,74.5842,74.7494,0.16519999999999868,82.2169,82.2511,0.034199999999998454,84.4042,84.4668,0.06260000000000332,86.6143,86.8934,0.2790999999999997,0.7816,0.7822,0.0006000000000000449
42,formula,43,73.9234,74.2424,0.3190000000000026,81.915,81.727,-0.1880000000000024,84.5238,84.3529,-0.17089999999998895,86.6427,86.62,-0.022700000000000387,0.7757,0.7773,0.0016000000000000458
42,formula,44,73.4051,74.7095,1.3044000000000011,81.6758,81.9264,0.2506000000000057,84.5523,84.3074,-0.24490000000000123,87.087,86.8022,-0.28480000000000416,0.7718,0.781,0.009199999999999986
43,mass,42,67.3958,67.9483,0.5525000000000091,74.6184,74.4987,-0.11969999999999459,76.9537,76.6519,-0.30180000000000007,78.9132,78.56,-0.35320000000000107,0.7077,0.7107,0.0030000000000000027
43,mass,43,66.6838,66.8831,0.19929999999999382,74.2652,74.1399,-0.12529999999999575,76.5835,76.6689,0.08539999999999281,78.8733,78.7765,-0.09680000000000177,0.7021,0.7036,0.0015000000000000568
43,mass,44,66.6838,66.735,0.05119999999999436,74.288,74.3563,0.0683000000000078,76.8227,76.6689,-0.15380000000000393,79.0955,79.1126,0.017099999999999227,0.7028,0.7032,0.00040000000000006697
43,formula,42,69.7938,69.5717,-0.22209999999999752,74.7779,74.9772,0.19929999999999382,76.9537,77.1132,0.1595000000000084,79.1752,79.386,0.21079999999999188,0.7227,0.7213,-0.0013999999999999568
43,formula,43,69.5944,69.0021,-0.5922999999999945,74.6981,74.6924,-0.005699999999990268,77.1132,76.9822,-0.13100000000000023,79.329,79.2607,-0.06829999999999359,0.7214,0.7179,-0.0035000000000000586
43,formula,44,69.5318,69.3324,-0.19939999999999714,74.6867,74.7266,0.03990000000000293,76.7259,76.6746,-0.05129999999999768,79.1581,79.3518,0.19369999999999266,0.7202,0.7196,-0.0005999999999999339
44,mass,42,57.4846,57.308,-0.17660000000000053,65.0433,65.1401,0.09680000000000177,67.7147,67.7774,0.06270000000000664,70.0103,69.7311,-0.279200000000003,0.6106,0.6092,-0.0014000000000000679
44,mass,43,58.0485,57.234,-0.8144999999999953,65.2427,64.5876,-0.6551000000000045,67.7204,67.2648,-0.455600000000004,70.0729,69.4919,-0.5810000000000031,0.6143,0.6069,-0.007399999999999962
44,mass,44,57.815,57.7296,-0.08539999999999992,64.7585,65.0205,0.26200000000000045,67.3502,67.3844,0.034199999999998454,69.7881,69.5432,-0.24490000000000123,0.6116,0.6111,-0.000500000000000056
44,formula,42,60.0023,59.7346,-0.26769999999999783,66.473,67.6236,1.1505999999999972,70.0843,70.6026,0.5182999999999964,72.8811,72.9494,0.06829999999999359,0.632,0.6335,0.0014999999999999458
44,formula,43,59.1479,59.8428,0.694899999999997,66.6895,67.1337,0.44420000000000925,70.09,70.4602,0.370199999999997,72.8469,72.7899,-0.05700000000000216,0.6277,0.6336,0.005900000000000016
44,formula,44,60.1219,59.8713,-0.2505999999999986,67.0369,67.1337,0.09680000000000177,70.3235,70.0103,-0.3131999999999948,73.0349,72.995,-0.03989999999998872,0.6344,0.6332,-0.0011999999999999789
