alignment_seed,source_git_commit,params_sha256,selection_path,summary_path,candidate_type,model_type,ablation,reranker_seed,metric_for_best,best_epoch,best_val_metric,stop_epoch,early_stopped,upper_bound_pct,base_top1_pct,base_top5_pct,base_top10_pct,base_top20_pct,base_mrr_raw,rerank_top1_pct,rerank_top5_pct,rerank_top10_pct,rerank_top20_pct,rerank_mrr_raw
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,formula,pointwise,full,42,mrr,21,0.7229610064858545,26,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.5842,82.2169,84.4042,86.6143,0.7816
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,formula,pointwise,full,43,mrr,7,0.723382279068502,12,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,73.9234,81.915,84.5238,86.6427,0.7757
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,formula,pointwise,full,44,mrr,8,0.72060144450847,13,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,73.4051,81.6758,84.5523,87.087,0.7718
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,formula,transformer,full,42,mrr,12,0.7220646105395899,17,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.7494,82.2511,84.4668,86.8934,0.7822
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,formula,transformer,full,43,mrr,6,0.723994986975384,11,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.2424,81.727,84.3529,86.62,0.7773
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,formula,transformer,full,44,mrr,10,0.7238930251858149,15,True,89.2572,63.1009,75.7861,80.8669,84.9339,0.6886,74.7095,81.9264,84.3074,86.8022,0.781
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,mass,pointwise,full,42,mrr,8,0.6492801135150534,13,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,67.6692,77.3923,80.2916,82.4447,0.7208
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,mass,pointwise,full,43,mrr,10,0.6512385354022238,15,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.0394,77.3297,80.1435,82.1542,0.7225
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,mass,pointwise,full,44,mrr,15,0.6473066087190312,20,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,66.6211,76.3386,79.8815,82.1884,0.7104
42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,checkpoints_align/a2280d2_massspecgym_nopretrain_valoverlapclean/alignment_selection.json,checkpoints_rerank/a2280d2_massspecgym_nopretrain_valoverlapclean_topk40_multiseed/summary.csv,mass,transformer,full,42,mrr,6,0.650644540082891,11,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.74,77.774,80.3714,82.177,0.7287
